"CASE"	"SERIAL"	"REF"	"QUESTNNR"	"MODE"	"STARTED"	"AC01"	"AC02"	"DO01"	"DO02"	"DO03"	"DO03_04"	"NT01_01"	"NT01_02"	"NT01_03"	"NT01_04"	"NT01_05"	"NT01_06"	"PQ01"	"PQ02"	"PQ04"	"PQ05"	"RA01_CP"	"RA01"	"SQ01"	"TX03"	"ZU02_01"	"ZU03_01"	"ZU04_01"	"ZU04_02"	"ZU04_03"	"TIME001"	"TIME002"	"TIME003"	"TIME004"	"TIME005"	"TIME006"	"TIME007"	"TIME008"	"TIME_SUM"	"MAILSENT"	"LASTDATA"	"FINISHED"	"Q_VIEWER"	"LASTPAGE"	"MAXPAGE"	"MISSING"	"MISSREL"	"TIME_RSI"
117			"base"	"interview"	2024-05-30 15:28:36	2	1	2	2	3		6	4	5	5	7	6	3	3	2	2	0	3	13	1	5	4	4	4	4	5	60	410	6	29	39	40	20	609		2024-05-30 15:38:45	T	F	8	8	0	0	1.31
119			"base"	"interview"	2024-05-30 15:37:56	1	1	2	2	3		8	1	2	8	9	1	3	3	2	2	0	1	13	1	6	6	5	6	6	78	56	388	7	66	57	40	25	717		2024-05-30 15:49:53	T	F	8	8	0	0	0.82
121			"base"	"interview"	2024-05-30 15:43:49	1	1	2	2	3		7	3	5	6	8	8	3	3	2	2	1	3	11	1	6	6	6	5	6	214	234	402	6	136	95	69	41	745		2024-05-30 16:03:46	T	F	8	8	0	0	0.53
124			"base"	"interview"	2024-05-30 15:52:58	1	1	2	2	3		7	2	3	8	9	6	3	3	2	2	1	2	13	1	6	5	6	7	7	47	66	407	4	39	33	23	21	640		2024-05-30 16:03:38	T	F	8	8	0	0	1.14
126			"base"	"interview"	2024-05-30 15:58:57	1	1	2	2	3		6	1	2	6	7	1	3	3	2	3	1	1	12	1	7	7	5	6	6	67	50	386	4	31	33	24	24	619		2024-05-30 16:09:16	T	F	8	8	0	0	1.16
133			"base"	"interview"	2024-05-30 17:11:39	1	1	2	2	3		4	2	4	5	7	7	3	3	2	2	2	3	8	1	5	5	2	3	4	7	79	380	7	42	31	23	16	585		2024-05-30 17:21:24	T	F	8	8	0	0	1.38
138			"base"	"interview"	2024-05-30 18:26:13	1	1	2	1	3		4	1	1	9	7	3	3	3	2	2	2	2	8	1	3	2	5	5	3	62	50	383	5	67	39	37	24	667		2024-05-30 18:37:20	T	F	8	8	0	0	0.95
139			"base"	"interview"	2024-05-30 18:26:52	1	1	2	2	3		1	1	1	8	7	1	3	3	2	3	2	1	13	1	6	6	2	6	5	54	50	421	6	58	26	28	19	662		2024-05-30 18:37:54	T	F	8	8	0	0	1.08
154			"base"	"interview"	2024-06-01 18:23:25	1	1	2	2	3		6	3	4	7	6	3	3	2	2	2	4	1	12	1	5	7	6	6	6	5	7	1	4	10	18	16	12	73		2024-06-01 18:24:38	T	F	8	8	0	0	2.53
165			"base"	"interview"	2024-06-01 21:52:01	1	1	1	1	3		3	6	2	4	8	8	3	2	2	2	4	3	13	1	6	6	4	2	2	212	104	388	6	127	50	45	24	692		2024-06-01 22:07:57	T	F	8	8	0	0	0.71
169			"base"	"interview"	2024-06-02 07:19:22	1	1	2	1	3		3	3	5	9	7	3	3	3	2	2	5	2	13	1	5	4	5	5	6	41	120	393	6	36	54	74	67	748		2024-06-02 07:32:33	T	F	8	8	0	0	0.76
174			"base"	"interview"	2024-06-02 10:07:02	1	1	3	2	3		5	1	1	9	4	2	3	3	2	2	5	2	13	1	5	6	6	5	6	56	49	389	5	38	64	58	19	678		2024-06-02 10:18:20	T	F	8	8	0	0	0.95
